"year","sector","grupo","value"
1995,"Combustibles","Hullas",3712.798057
1995,"Metaliferos","Aluminio",4784.659353
1995,"Metaliferos","Aluminio y bauxita",1153.078911
1995,"Metaliferos","Antimonio",371.242952
1995,"Metaliferos","Arenas de escorias de siderurgia",204.931239
1995,"Metaliferos","Berilio",5.685252
1995,"Metaliferos","Bismuto",148.913238
1995,"Metaliferos","Cadmio",51.555504
1995,"Metaliferos","Cenizas y residuos",1205.351979
1995,"Metaliferos","Cinc",6065.444764
1995,"Metaliferos","Circonio",375.53922
1995,"Metaliferos","Cobalto",1570.578809
1995,"Metaliferos","Cobre",29779.641186
1995,"Metaliferos","Cromo",589.005374
1995,"Metaliferos","Demás desperdicios metalicos",183.101372
1995,"Metaliferos","Estaño",1759.835594
1995,"Metaliferos","Ferroaleaciones",9463.727757
1995,"Metaliferos","Hierro",11474.447556
1995,"Metaliferos","Magnesio",787.533925
1995,"Metaliferos","Manganeso",950.823614
1995,"Metaliferos","Min.y Conc, de metales preciosos",460.164305
1995,"Metaliferos","Molibdeno",1937.713385
1995,"Metaliferos","Níquel",7083.343928
1995,"Metaliferos","Oro",26543.616286
1995,"Metaliferos","Plata",3878.567176
1995,"Metaliferos","Plomo",2167.313302
1995,"Metaliferos","Talio",140.321296
1995,"Metaliferos","Tantalio",227.140612
1995,"Metaliferos","Titanio",954.500856
1995,"Metaliferos","Torio",0.667515
1995,"Metaliferos","Uranio",157.453175
1995,"Metaliferos","Vanadio",87.715313
1995,"Metaliferos","Volframio",185.004127
1995,"No metaliferos","Abrasivos naturales",46.782369
1995,"No metaliferos","Amianto (asbesto, incluye crocidolita)",531.610049
1995,"No metaliferos","Arcillas",553.502269
1995,"No metaliferos","Arenas",817.593591
1995,"No metaliferos","Asfaltita",348.741161
1995,"No metaliferos","Azufre",1029.236581
1995,"No metaliferos","Baritina",175.424822
1995,"No metaliferos","Bentonita",283.290042
1995,"No metaliferos","Boratos",1012.844096
1995,"No metaliferos","Caolín",1524.007012
1995,"No metaliferos","Creta",108.713802
1995,"No metaliferos","Cuarzo",65.761958
1995,"No metaliferos","Diatomitas",123.869833
1995,"No metaliferos","Feldespato",206.242864
1995,"No metaliferos","Fluorita",295.540147
1995,"No metaliferos","Fosfatos",1422.963977
1995,"No metaliferos","Grafito",192.228169
1995,"No metaliferos","Litio",283.573918
1995,"No metaliferos","Magnesio",1270.527894
1995,"No metaliferos","Materias minerales activadas (diatomita, arcillas, bauxita, etc.)",331.31438
1995,"No metaliferos","Mica",73.058522
1995,"No metaliferos","Mullita",45.928731
1995,"No metaliferos","Oxidos de hierro",678.196259
1995,"No metaliferos","Potasio",3454.668254
1995,"No metaliferos","Sal",1100.854484
1995,"No metaliferos","Sulfatos",548.461445
1995,"No metaliferos","Sulfatos de magnesio",75.238185
1995,"No metaliferos","Talco",401.826938
1995,"No metaliferos","Tierras Colorantes",9.2296
1995,"No metaliferos","Turba",550.67483
1995,"No metaliferos","Vermiculita y perlita",103.627661
1995,"No metaliferos","Witherita",9.977102
1995,"No metaliferos","Yesos",617.935423
1995,"Piedras preciosas y/o semipreciosas","Piedras preciosas o semipreciosas",1047.188577
1995,"Rocas de aplicacion","Adoquines, encintados y losas para pavimentos, de piedra natural (excepto la pizarra)",281.038708
1995,"Rocas de aplicacion","Arcillas Dilatadas",115.272488
1995,"Rocas de aplicacion","Arenisca",17.840331
1995,"Rocas de aplicacion","Cales",329.794737
1995,"Rocas de aplicacion","Caliza",369.25269
1995,"Rocas de aplicacion","Cantos rodados y Triturados pétreos",736.329944
1995,"Rocas de aplicacion","Cementos",5144.718132
1995,"Rocas de aplicacion","Cuarcita",37.973427
1995,"Rocas de aplicacion","Demas minerales n.c.p (incluye arenas de circonio, espomudeno y tierras colorantes)",644.410575
1995,"Rocas de aplicacion","Demás piedras de talla o constucción",111.193196
1995,"Rocas de aplicacion","Dolomita",215.368773
1995,"Rocas de aplicacion","Granito",2871.255851
1995,"Rocas de aplicacion","Granulos,tasquiles y polvo de mármol y arenisca",212.442425
1995,"Rocas de aplicacion","Lanas de escoria de rocas y lanas de minerales",613.627349
1995,"Rocas de aplicacion","Las demás piedras de talla o de construcción (incluye bolas de piedra para molinos y las demás manufacturas de las demás piedras)",196.95784
1995,"Rocas de aplicacion","Losetas, cubos, dados y artículos similares, incluso en forma distinta a la cuadrada o rectangular",79.866452
1995,"Rocas de aplicacion","Mármoles",1736.529703
1995,"Rocas de aplicacion","Mármoles y travertinos",345.301356
1995,"Rocas de aplicacion","Piedra pómez",68.988015
1995,"Rocas de aplicacion","Piedras talladas o aserradas",72.607458
1995,"Rocas de aplicacion","Pizarra",445.2917
1995,"Rocas de aplicacion","Triturados pétreos",28.755473
1996,"Combustibles","Hullas",4229.411022
1996,"Metaliferos","Aluminio",5906.132041
1996,"Metaliferos","Aluminio y bauxita",1446.176768
1996,"Metaliferos","Antimonio",284.338069
1996,"Metaliferos","Arenas de escorias de siderurgia",237.062393
1996,"Metaliferos","Berilio",4.2067
1996,"Metaliferos","Bismuto",208.466998
1996,"Metaliferos","Cadmio",38.779893
1996,"Metaliferos","Cenizas y residuos",958.057222
1996,"Metaliferos","Cinc",6557.626103
1996,"Metaliferos","Circonio",584.002485
1996,"Metaliferos","Cobalto",1772.545654
1996,"Metaliferos","Cobre",26237.125961
1996,"Metaliferos","Cromo",680.499672
1996,"Metaliferos","Demás desperdicios metalicos",217.461645
1996,"Metaliferos","Estaño",1894.063835
1996,"Metaliferos","Ferroaleaciones",9344.405255
1996,"Metaliferos","Hierro",11852.126084
1996,"Metaliferos","Magnesio",855.586684
1996,"Metaliferos","Manganeso",995.011035
1996,"Metaliferos","Min.y Conc, de metales preciosos",677.247095
1996,"Metaliferos","Molibdeno",899.02584
1996,"Metaliferos","Níquel",6776.932713
1996,"Metaliferos","Oro",33043.998743
1996,"Metaliferos","Plata",3745.798852
1996,"Metaliferos","Plomo",2764.776936
1996,"Metaliferos","Talio",105.372689
1996,"Metaliferos","Tantalio",245.801725
1996,"Metaliferos","Titanio",1218.423533
1996,"Metaliferos","Torio",0.848618
1996,"Metaliferos","Uranio",174.500649
1996,"Metaliferos","Vanadio",101.8018
1996,"Metaliferos","Volframio",178.634613
1996,"No metaliferos","Abrasivos naturales",6.423257
1996,"No metaliferos","Amianto (asbesto, incluye crocidolita)",548.502007
1996,"No metaliferos","Arcillas",583.125107
1996,"No metaliferos","Arenas",835.532122
1996,"No metaliferos","Asfaltita",330.950764
1996,"No metaliferos","Azufre",890.897136
1996,"No metaliferos","Baritina",220.855988
1996,"No metaliferos","Bentonita",305.919063
1996,"No metaliferos","Boratos",940.587606
1996,"No metaliferos","Caolín",1536.407058
1996,"No metaliferos","Creta",132.490204
1996,"No metaliferos","Cuarzo",74.86887
1996,"No metaliferos","Diatomitas",121.508044
1996,"No metaliferos","Feldespato",209.564072
1996,"No metaliferos","Fluorita",337.241051
1996,"No metaliferos","Fosfatos",1682.035516
1996,"No metaliferos","Grafito",181.17085
1996,"No metaliferos","Litio",355.634579
1996,"No metaliferos","Magnesio",1117.112241
1996,"No metaliferos","Materias minerales activadas (diatomita, arcillas, bauxita, etc.)",297.307681
1996,"No metaliferos","Mica",80.049941
1996,"No metaliferos","Mullita",37.246912
1996,"No metaliferos","Oxidos de hierro",643.908051
1996,"No metaliferos","Potasio",3322.545918
1996,"No metaliferos","Sal",1343.118569
1996,"No metaliferos","Sulfatos",604.543953
1996,"No metaliferos","Sulfatos de magnesio",92.968188
1996,"No metaliferos","Talco",422.197031
1996,"No metaliferos","Tierras Colorantes",8.840264
1996,"No metaliferos","Turba",558.240437
1996,"No metaliferos","Vermiculita y perlita",117.237637
1996,"No metaliferos","Witherita",12.399069
1996,"No metaliferos","Yesos",651.27041
1996,"Piedras preciosas y/o semipreciosas","Piedras preciosas o semipreciosas",979.84046
1996,"Rocas de aplicacion","Adoquines, encintados y losas para pavimentos, de piedra natural (excepto la pizarra)",283.241754
1996,"Rocas de aplicacion","Arcillas Dilatadas",132.724233
1996,"Rocas de aplicacion","Arenisca",19.814229
1996,"Rocas de aplicacion","Cales",310.492181
1996,"Rocas de aplicacion","Caliza",459.343731
1996,"Rocas de aplicacion","Cantos rodados y Triturados pétreos",771.32321
1996,"Rocas de aplicacion","Cementos",5895.829597
1996,"Rocas de aplicacion","Cuarcita",47.950298
1996,"Rocas de aplicacion","Demas minerales n.c.p (incluye arenas de circonio, espomudeno y tierras colorantes)",667.98666
1996,"Rocas de aplicacion","Demás piedras de talla o constucción",106.747893
1996,"Rocas de aplicacion","Dolomita",210.387075
1996,"Rocas de aplicacion","Granito",3153.324663
1996,"Rocas de aplicacion","Granulos,tasquiles y polvo de mármol y arenisca",210.013533
1996,"Rocas de aplicacion","Lanas de escoria de rocas y lanas de minerales",641.158957
1996,"Rocas de aplicacion","Las demás piedras de talla o de construcción (incluye bolas de piedra para molinos y las demás manufacturas de las demás piedras)",200.391838
1996,"Rocas de aplicacion","Losetas, cubos, dados y artículos similares, incluso en forma distinta a la cuadrada o rectangular",72.251953
1996,"Rocas de aplicacion","Mármoles",1832.801697
1996,"Rocas de aplicacion","Mármoles y travertinos",397.529659
1996,"Rocas de aplicacion","Piedra pómez",59.768678
1996,"Rocas de aplicacion","Piedras talladas o aserradas",76.762517
1996,"Rocas de aplicacion","Pizarra",453.937806
1996,"Rocas de aplicacion","Triturados pétreos",42.855559
1997,"Combustibles","Hullas",4606.507481
1997,"Metaliferos","Aluminio",5795.599527
1997,"Metaliferos","Aluminio y bauxita",1245.010538
1997,"Metaliferos","Antimonio",222.04442
1997,"Metaliferos","Arenas de escorias de siderurgia",224.688954
1997,"Metaliferos","Berilio",4.806445
1997,"Metaliferos","Bismuto",191.600875
1997,"Metaliferos","Cadmio",25.007295
1997,"Metaliferos","Cenizas y residuos",993.455453
1997,"Metaliferos","Cinc",9132.815959
1997,"Metaliferos","Circonio",429.060435
1997,"Metaliferos","Cobalto",1720.098407
1997,"Metaliferos","Cobre",27473.937353
1997,"Metaliferos","Cromo",674.362178
1997,"Metaliferos","Demás desperdicios metalicos",226.046474
1997,"Metaliferos","Estaño",1707.17905
1997,"Metaliferos","Ferroaleaciones",9209.209552
1997,"Metaliferos","Hierro",12933.320646
1997,"Metaliferos","Magnesio",931.856922
1997,"Metaliferos","Manganeso",954.850479
1997,"Metaliferos","Min.y Conc, de metales preciosos",708.468987
1997,"Metaliferos","Molibdeno",1092.167691
1997,"Metaliferos","Níquel",6932.012663
1997,"Metaliferos","Oro",34728.947405
1997,"Metaliferos","Plata",3552.858477
1997,"Metaliferos","Plomo",2494.693909
1997,"Metaliferos","Talio",213.685488
1997,"Metaliferos","Tantalio",301.975439
1997,"Metaliferos","Titanio",1453.878887
1997,"Metaliferos","Torio",0.626946
1997,"Metaliferos","Uranio",174.473552
1997,"Metaliferos","Vanadio",106.625914
1997,"Metaliferos","Volframio",208.376378
1997,"No metaliferos","Abrasivos naturales",2.590609
1997,"No metaliferos","Amianto (asbesto, incluye crocidolita)",458.881647
1997,"No metaliferos","Arcillas",580.785926
1997,"No metaliferos","Arenas",884.813135
1997,"No metaliferos","Asfaltita",384.527697
1997,"No metaliferos","Azufre",881.011169
1997,"No metaliferos","Baritina",292.790842
1997,"No metaliferos","Bentonita",324.081197
1997,"No metaliferos","Boratos",1037.362316
1997,"No metaliferos","Caolín",1643.055758
1997,"No metaliferos","Creta",130.719417
1997,"No metaliferos","Cuarzo",91.498225
1997,"No metaliferos","Diatomitas",123.597778
1997,"No metaliferos","Feldespato",230.246744
1997,"No metaliferos","Fluorita",387.092758
1997,"No metaliferos","Fosfatos",1939.913845
1997,"No metaliferos","Grafito",189.963043
1997,"No metaliferos","Litio",332.996211
1997,"No metaliferos","Magnesio",1214.817153
1997,"No metaliferos","Materias minerales activadas (diatomita, arcillas, bauxita, etc.)",325.942123
1997,"No metaliferos","Mica",81.192937
1997,"No metaliferos","Mullita",37.352348
1997,"No metaliferos","Oxidos de hierro",658.532875
1997,"No metaliferos","Potasio",3745.399314
1997,"No metaliferos","Sal",1341.890757
1997,"No metaliferos","Sulfatos",638.37458
1997,"No metaliferos","Sulfatos de magnesio",77.329605
1997,"No metaliferos","Talco",394.184993
1997,"No metaliferos","Tierras Colorantes",12.314204
1997,"No metaliferos","Turba",538.160151
1997,"No metaliferos","Vermiculita y perlita",133.009933
1997,"No metaliferos","Witherita",3.321473
1997,"No metaliferos","Yesos",705.857904
1997,"Piedras preciosas y/o semipreciosas","Piedras preciosas o semipreciosas",923.471883
1997,"Rocas de aplicacion","Adoquines, encintados y losas para pavimentos, de piedra natural (excepto la pizarra)",246.183649
1997,"Rocas de aplicacion","Arcillas Dilatadas",150.751744
1997,"Rocas de aplicacion","Arenisca",26.976452
1997,"Rocas de aplicacion","Cales",298.234124
1997,"Rocas de aplicacion","Caliza",465.471948
1997,"Rocas de aplicacion","Cantos rodados y Triturados pétreos",698.552281
1997,"Rocas de aplicacion","Cementos",5647.124786
1997,"Rocas de aplicacion","Cuarcita",34.893853
1997,"Rocas de aplicacion","Demas minerales n.c.p (incluye arenas de circonio, espomudeno y tierras colorantes)",708.487126
1997,"Rocas de aplicacion","Demás piedras de talla o constucción",106.147144
1997,"Rocas de aplicacion","Dolomita",232.619575
1997,"Rocas de aplicacion","Granito",3487.473582
1997,"Rocas de aplicacion","Granulos,tasquiles y polvo de mármol y arenisca",195.274116
1997,"Rocas de aplicacion","Lanas de escoria de rocas y lanas de minerales",618.835442
1997,"Rocas de aplicacion","Las demás piedras de talla o de construcción (incluye bolas de piedra para molinos y las demás manufacturas de las demás piedras)",248.977086
1997,"Rocas de aplicacion","Losetas, cubos, dados y artículos similares, incluso en forma distinta a la cuadrada o rectangular",80.560072
1997,"Rocas de aplicacion","Mármoles",1811.72733
1997,"Rocas de aplicacion","Mármoles y travertinos",502.986197
1997,"Rocas de aplicacion","Piedra pómez",50.745972
1997,"Rocas de aplicacion","Piedras talladas o aserradas",94.897863
1997,"Rocas de aplicacion","Pizarra",443.770238
1997,"Rocas de aplicacion","Triturados pétreos",40.704047
1998,"Combustibles","Hullas",4552.228644
1998,"Metaliferos","Aluminio",5549.183288
1998,"Metaliferos","Aluminio y bauxita",1324.06807
1998,"Metaliferos","Antimonio",153.776825
1998,"Metaliferos","Arenas de escorias de siderurgia",244.945407
1998,"Metaliferos","Berilio",8.387748
1998,"Metaliferos","Bismuto",204.328366
1998,"Metaliferos","Cadmio",15.364404
1998,"Metaliferos","Cenizas y residuos",1178.367104
1998,"Metaliferos","Cinc",7168.281584
1998,"Metaliferos","Circonio",402.818173
