"ANYO","MES","GRUPO","SECTOR","FOB"
1994,1,"Amianto","No metaliferos",233
1994,1,"Arcillas","No metaliferos",35904
1994,1,"Arenas","No metaliferos",279
1994,1,"Asfaltita","No metaliferos",52099
1994,1,"Bentonita","No metaliferos",238734
1994,1,"Boratos","No metaliferos",482523
1994,1,"Cales","Rocas de aplicación",67091
1994,1,"Caliza","Rocas de aplicación",9836
1994,1,"Cementos","Rocas de aplicación",436360
1994,1,"Cinc","Metaliferos",45814
1994,1,"Cuarzo","No metaliferos",15125
1994,1,"Demas minerales n.c.p","No metaliferos",2070
1994,1,"Dolomita","Rocas de aplicación",18370
1994,1,"Feldespato","No metaliferos",31251
1994,1,"Ferroaleaciones","Metaliferos",499835
1994,1,"Fluorita","No metaliferos",5625
1994,1,"Grafito","No metaliferos",40
1994,1,"Granito","Rocas de aplicación",310288
1994,1,"Hierro","Metaliferos",30
1994,1,"Lanas de escoria de rocas y lanas de minerales","Rocas de aplicación",2899
1994,1,"Magnesio","No metaliferos",478
1994,1,"Mica","No metaliferos",1056
1994,1,"Mármoles","Rocas de aplicación",36240
1994,1,"Mármoles, travertinos y calizas","Rocas de aplicación",58556
1994,1,"Oro","Metaliferos",2520791
1994,1,"Oxidos de hierro","No metaliferos",65810
1994,1,"Piedra pómez","Rocas de aplicación",10178
1994,1,"Piedras preciosas o semipreciosas","Piedras preciosas y/o semipreciosas",150791
1994,1,"Piedras talladas o aserradas","Rocas de aplicación",97236
1994,1,"Sal","No metaliferos",291989
1994,1,"Sulfatos","No metaliferos",282778
1994,1,"Talco","No metaliferos",4947
1994,1,"Turba","No metaliferos",2280
1994,1,"Vermiculita","No metaliferos",49381
1994,1,"Volframio","Metaliferos",10250
1994,1,"Yesos","No metaliferos",26105
1994,2,"Aluminio","Metaliferos",2280
1994,2,"Arcillas","No metaliferos",54854
1994,2,"Arcillas Dilatadas","Rocas de aplicación",405
1994,2,"Arenas","No metaliferos",4950
1994,2,"Asfaltita","No metaliferos",43564
1994,2,"Bentonita","No metaliferos",156093
1994,2,"Boratos","No metaliferos",586242
1994,2,"Cales","Rocas de aplicación",31978
1994,2,"Caliza","Rocas de aplicación",8308
1994,2,"Cementos","Rocas de aplicación",260668
1994,2,"Cuarzo","No metaliferos",1430
1994,2,"Demas minerales n.c.p","No metaliferos",38071
1994,2,"Dolomita","Rocas de aplicación",40805
1994,2,"Feldespato","No metaliferos",6519
1994,2,"Ferroaleaciones","Metaliferos",791983
1994,2,"Fluorita","No metaliferos",6750
1994,2,"Fosfatos","No metaliferos",25200
1994,2,"Granito","Rocas de aplicación",27559
1994,2,"Hullas","Combustibles",1050
1994,2,"Mica","No metaliferos",73
1994,2,"Mármoles","Rocas de aplicación",25890
1994,2,"Mármoles, travertinos y calizas","Rocas de aplicación",150662
1994,2,"Níquel","Metaliferos",70560
1994,2,"Oro","Metaliferos",2198224
1994,2,"Oxidos de hierro","No metaliferos",31675
1994,2,"Piedra pómez","Rocas de aplicación",18892
1994,2,"Piedras preciosas o semipreciosas","Piedras preciosas y/o semipreciosas",37395
1994,2,"Piedras talladas o aserradas","Rocas de aplicación",5687
1994,2,"Sal","No metaliferos",136205
1994,2,"Sulfatos","No metaliferos",54540
1994,2,"Talco","No metaliferos",1860
1994,2,"Tierras Colorantes","No metaliferos",2410
1994,2,"Vermiculita","No metaliferos",55381
1994,2,"Yesos","No metaliferos",79983
1994,3,"Amianto","No metaliferos",3001
1994,3,"Arcillas","No metaliferos",135806
1994,3,"Arcillas Dilatadas","Rocas de aplicación",405
1994,3,"Arenas","No metaliferos",2330
1994,3,"Asfaltita","No metaliferos",30
1994,3,"Azufre","No metaliferos",1943
1994,3,"Bentonita","No metaliferos",355085
1994,3,"Boratos","No metaliferos",736695
1994,3,"Cadmio","Metaliferos",4908
1994,3,"Cales","Rocas de aplicación",165557
1994,3,"Cementos","Rocas de aplicación",659139
1994,3,"Cinc","Metaliferos",32486
1994,3,"Cuarzo","No metaliferos",36125
1994,3,"Demas minerales n.c.p","No metaliferos",10
1994,3,"Demás piedras de talla o constucción","Rocas de aplicación",22545
1994,3,"Dolomita","Rocas de aplicación",43673
1994,3,"Feldespato","No metaliferos",31970
1994,3,"Ferroaleaciones","Metaliferos",717418
1994,3,"Fluorita","No metaliferos",5625
1994,3,"Grafito","No metaliferos",464
1994,3,"Granito","Rocas de aplicación",224520
1994,3,"Granulos,tasquiles y polvo de mármol y arenisca","Rocas de aplicación",9000
1994,3,"Hullas","Combustibles",9749
1994,3,"Mica","No metaliferos",6750
1994,3,"Mármoles","Rocas de aplicación",18073
1994,3,"Mármoles, travertinos y calizas","Rocas de aplicación",7920
1994,3,"Oro","Metaliferos",2376887
1994,3,"Oxidos de hierro","No metaliferos",63276
1994,3,"Piedra pómez","Rocas de aplicación",30709
1994,3,"Piedras preciosas o semipreciosas","Piedras preciosas y/o semipreciosas",46560
1994,3,"Piedras talladas o aserradas","Rocas de aplicación",168308
1994,3,"Pizarra","Rocas de aplicación",565
1994,3,"Plata","Metaliferos",410
1994,3,"Plomo","Metaliferos",1069879
1994,3,"Potasio","No metaliferos",14
1994,3,"Sal","No metaliferos",150637
1994,3,"Sulfatos","No metaliferos",250946
1994,3,"Talco","No metaliferos",8495
1994,3,"Tierras Colorantes","No metaliferos",1365
1994,3,"Vermiculita","No metaliferos",33600
1994,3,"Yesos","No metaliferos",110199
1994,4,"Aluminio","Metaliferos",1900
1994,4,"Amianto","No metaliferos",1898
1994,4,"Arcillas","No metaliferos",5681
1994,4,"Arenas","No metaliferos",2227
1994,4,"Asfaltita","No metaliferos",25585
1994,4,"Azufre","No metaliferos",5000
1994,4,"Bentonita","No metaliferos",285460
1994,4,"Boratos","No metaliferos",828902
1994,4,"Cales","Rocas de aplicación",59021
1994,4,"Caliza","Rocas de aplicación",9485
1994,4,"Cantos rodados y Triturados pétreos","Rocas de aplicación",155
1994,4,"Cementos","Rocas de aplicación",491430
1994,4,"Cinc","Metaliferos",43202
1994,4,"Cromo","Metaliferos",113
1994,4,"Cuarzo","No metaliferos",17400
1994,4,"Demas minerales n.c.p","No metaliferos",3455
1994,4,"Demás piedras de talla o constucción","Rocas de aplicación",250325
1994,4,"Dolomita","Rocas de aplicación",6325
1994,4,"Feldespato","No metaliferos",5199
1994,4,"Ferroaleaciones","Metaliferos",702124
1994,4,"Fluorita","No metaliferos",10775
1994,4,"Granito","Rocas de aplicación",404074
1994,4,"Hullas","Combustibles",302
